Time,Voltage 1,Temperature
9542.640139,1.784678333,8.027378707
9544.40118,1.76998,8.037431385
9546.11181,1.717135,8.037959796
9547.910746,1.657234,8.037959777
9549.86993,1.755727143,8.039611264
9551.832025,1.702246667,8.053060644
9553.595509,1.771268,8.053067069
9555.357617,1.760756667,8.056485722
9557.119224,1.759888,8.057472447
9558.882724,1.75416,8.066537762
9560.855317,1.758435714,8.080400111
9562.837481,1.743956,8.092287567
9564.581004,1.751581667,8.102007798
9566.331983,1.769618,8.103185407
9568.104305,1.806601667,8.099442487
9569.854305,1.725784,8.109296224
9571.830978,1.719615714,8.111983715
9573.80743,1.764035,8.11994545
9575.56009,1.721016,8.119213443
9577.299777,1.78312,8.133471454
9579.058874,1.756475,8.135711956
9580.662773,1.76198,8.138525299
9582.965811,1.767654,8.139976499
9584.71024,1.758674,8.14667877
9586.370073,1.744735,8.151999799
9588.330867,1.76264,8.159013752
9590.59143,1.765018,8.16294251
9592.065379,1.75635,8.173798739
9593.83868,1.769476667,8.175052556
9595.595352,1.777554,8.17754739
9597.362255,1.78272,8.183523564
9599.118301,1.791302,8.187195827
9601.127975,1.760838571,8.196421449
9603.083994,1.756851667,8.202832694
9604.495909,1.7369425,8.216890757
9606.365085,1.731016,8.209922177
9608.176858,1.739295,8.218422301
9610.188524,1.728158,8.224705555
9612.090325,1.743762857,8.230099441
9613.916046,1.693675,8.228918332
9616.103805,1.696365,8.249052744
9617.10508,1.718015,8.248938207
9618.976112,1.685645,8.246825526
9621.542968,1.742066667,8.257732394
9622.837936,1.683044286,8.260945866
9625.28118,1.714206667,8.266140366
9626.776349,1.723412857,8.269817457
9628.705234,1.733716,8.28084968
9630.594566,1.78387,8.283337644
9632.347023,1.72193,8.291083437
9634.195406,1.767358,8.29732324
9635.960909,1.780756667,8.301662637
9637.692476,1.7964525,8.305361454
9639.874599,1.786424,8.304347658
9641.590951,1.754573333,8.306057115
9643.269862,1.788461667,8.320508554
9644.949175,1.776183333,8.327131779
9646.832663,1.8303475,8.332932011
9648.938239,1.738278,8.332775175
9650.666805,1.784745,8.343877151
9652.424052,1.792344,8.340988785
9654.192064,1.77602,8.35562148
9655.958939,1.790774,8.366652909
9657.93243,1.800351429,8.371346649
9659.922644,1.781406667,8.380445102
9661.666805,1.782974,8.38522897
9663.42475,1.785826667,8.384974525
9665.18243,1.772508,8.385629725
9666.940246,1.773156667,8.389631137
9668.705866,1.738912,8.395076546
9670.69024,1.728791429,8.395713899
9672.663107,1.768736667,8.400928949
9674.43243,1.747678,8.4033526
9676.18243,1.731176667,8.408206202
9677.932788,1.719116,8.407086688
9679.909096,1.737681429,8.409683223
9681.86993,1.75994,8.416151242
9683.61993,1.742326,8.429413996
9685.384509,1.724616667,8.426125378
9687.135555,1.70396,8.431315884
9688.885555,1.710482,8.436366427
9690.832516,1.732822857,8.445971142
9692.846355,1.741305,8.446867999
9694.576598,1.744862,8.445366872
9696.373689,1.716555,8.452846918
9698.104305,1.701218,8.446543537
9699.854305,1.775794,8.45921387
9701.823051,1.76967,8.456000495
9703.79054,1.781668333,8.456586967
9705.58868,1.732084,8.460854844
9707.33868,1.720028333,8.468926201
9709.085633,1.756892,8.469447774
9710.854305,1.7313,8.476876578
9712.823051,1.74582,8.486295998
9714.7885,1.724558,8.489660472
9716.545824,1.729886667,8.493743614
9718.316644,1.718164,8.507977077
9720.073055,1.809436,8.517561196
9721.823055,1.840743333,8.516708991
9723.793815,1.807774286,8.517535712
9725.77618,1.792494,8.519990527
9727.52618,1.730923333,8.532652415
9729.27618,1.725272,8.530687353
9731.02618,1.722405,8.544665263
9732.99493,1.735985714,8.544779731
9734.956013,1.753494,8.554115007
9736.729883,1.761918333,8.55943128
9738.458353,1.763444,8.568149482
9740.252463,1.73009,8.571774029
9741.99493,1.755448,8.58337891
9743.96368,1.736161429,8.584571781
9745.924617,1.752555,8.596630334
9747.66368,1.741514,8.600833333
9749.416805,1.730834,8.612183077
9751.166805,1.743588333,8.617104416
9753.135558,1.743704286,8.623572004
9755.112113,1.73369,8.626819751
9756.86993,1.731466667,8.632205059
9758.609019,1.742796,8.633572033
9760.385555,1.761515,8.642040842
9762.135555,1.764676,8.63724695
9764.123025,1.764252857,8.645626708
9766.08868,1.76528,8.64879926
9767.830869,1.755508,8.655621139
9769.573055,1.76683,8.663040489
9771.308562,1.749861667,8.669270962
9773.283992,1.76012,8.6735445
9775.271581,1.78258,8.674452344
9777.02618,1.783521667,8.681210238
9778.783296,1.806772,8.691642585
9780.547242,1.793048333,8.69084793
9782.309251,1.78948,8.695844639
9784.076316,1.797801667,8.705812577
9786.07468,1.762108571,8.713482908
9788.058135,1.6784,8.718208515
9789.823894,1.749851667,8.723713547
9791.602743,1.68845,8.72160947
9793.349022,1.681406667,8.725550689
9795.110296,1.72039,8.738403841
9797.092003,1.762057143,8.740933736
9799.073055,1.688318333,8.746743595
9800.838269,1.663538,8.750411247
9802.599325,1.704458333,8.757956199
9804.366626,1.611276667,8.761045359
9806.134076,1.558178,8.758814231
9807.907414,1.619156667,8.764782819
9809.878541,1.616324286,8.771738952
9811.854305,1.606918,8.781899711
9813.620925,1.587655,8.779541635
9815.378715,1.610178,8.786361541
9817.138022,1.59096,8.790359377
9818.898436,1.576696,8.79376611
9820.892025,1.590854286,8.803630185
9822.86993,1.618885,8.799994741
9824.622916,1.633556,8.807602369
9826.414337,1.59559,8.811472908
9828.168283,1.601038,8.817250093
9829.920313,1.573406667,8.826166702
9831.699671,1.579676,8.826764103
9833.689903,1.57173,8.832341522
9835.671071,1.595421667,8.831085728
9837.433135,1.578414,8.837644282
9839.198055,1.621201667,8.833716803
9840.962287,1.632183333,8.840071964
9842.719797,1.663872,8.846624047
9844.710839,1.604688571,8.852952324
